Sample Project Reason
MIX1A-NW-1 flu-Xue-chronic LowCoverageHighVariability
MIX1A-NW-2 flu-Xue-chronic LowCoverageHighVariability
W62A-NW-1 flu-Xue-chronic LowCoverageHighVariability
W62A-NW-2 flu-Xue-chronic LowCoverageHighVariability
W69A-NW-1 flu-Xue-chronic LowCoverageHighVariability
W69A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Y07A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Y07A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Y35A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Y35A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Y63A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Y63A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Y70A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Y70A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Y77A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Y77A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Z14A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Z14A-NW-2 flu-Xue-chronic LowCoverageHighVariability
Z69A-NW-1 flu-Xue-chronic LowCoverageHighVariability
Z69A-NW-2 flu-Xue-chronic LowCoverageHighVariability
HS1563 flu-McCrone LongitudinalFirstTimepoint
HS1562 flu-McCrone LongitudinalFirstTimepoint
HS1394 flu-McCrone LongitudinalFirstTimepoint
HS1461 flu-McCrone LongitudinalFirstTimepoint
HS1376 flu-McCrone LongitudinalFirstTimepoint
HS1604 flu-McCrone LongitudinalFirstTimepoint
HS1566 flu-McCrone LongitudinalFirstTimepoint
HS1340 flu-McCrone LongitudinalFirstTimepoint
HS1448 flu-McCrone LongitudinalFirstTimepoint
HS1579 flu-McCrone LongitudinalFirstTimepoint
HS1393 flu-McCrone LongitudinalFirstTimepoint
HS1416 flu-McCrone LongitudinalFirstTimepoint
HS1336 flu-McCrone LongitudinalFirstTimepoint
HS1335 flu-McCrone LongitudinalFirstTimepoint
HS1417 flu-McCrone LongitudinalFirstTimepoint
HS1531 flu-McCrone LongitudinalFirstTimepoint
HS1516 flu-McCrone LongitudinalFirstTimepoint
HS1284 flu-McCrone LongitudinalFirstTimepoint
HS1408 flu-McCrone LongitudinalFirstTimepoint
HS1409 flu-McCrone LongitudinalFirstTimepoint
HS1256 flu-McCrone LongitudinalFirstTimepoint
HS1328 flu-McCrone LongitudinalFirstTimepoint
HS1327 flu-McCrone LongitudinalFirstTimepoint
HS1313 flu-McCrone LongitudinalFirstTimepoint
HS1253 flu-McCrone LongitudinalFirstTimepoint
HS1385 flu-McCrone LongitudinalFirstTimepoint
HS1596 flu-McCrone LongitudinalFirstTimepoint
HS1465 flu-McCrone LongitudinalFirstTimepoint
HS1463 flu-McCrone LongitudinalFirstTimepoint
HS1460 flu-McCrone LongitudinalFirstTimepoint
HS1427 flu-McCrone LongitudinalFirstTimepoint
HS1517 flu-McCrone LongitudinalFirstTimepoint
HS1509 flu-McCrone LongitudinalFirstTimepoint
HS1381 flu-McCrone LongitudinalFirstTimepoint
HS1554 flu-McCrone LongitudinalFirstTimepoint
HS1392 flu-McCrone LongitudinalFirstTimepoint
HS1401 flu-McCrone LongitudinalFirstTimepoint
HS1351 flu-McCrone LongitudinalFirstTimepoint
HS1595 flu-McCrone LongitudinalFirstTimepoint
HS1487 flu-McCrone LongitudinalFirstTimepoint
HS1421 flu-McCrone LongitudinalFirstTimepoint
HS1474 flu-McCrone LongitudinalFirstTimepoint
HS1520 flu-McCrone LongitudinalFirstTimepoint
HS1505 flu-McCrone LongitudinalFirstTimepoint
HS1500 flu-McCrone LongitudinalFirstTimepoint
HS1510 flu-McCrone LongitudinalFirstTimepoint
HS1405 flu-McCrone LongitudinalFirstTimepoint
HS1387 flu-McCrone LongitudinalFirstTimepoint
HS1390 flu-McCrone LongitudinalFirstTimepoint
Brisbane flu-Debbink PlasmidControl
Cal-H3N2 flu-Debbink PlasmidControl
Cali_pool flu-McCrone PlasmidControl
PC1A flu-McCrone PlasmidControl
Perth_mp flu-McCrone PlasmidControl
Vic_pool flu-McCrone PlasmidControl
400 flu-Debbink TopNumbersOfVariants
427 flu-Debbink TopNumbersOfVariants
004 flu-Debbink TopNumbersOfVariants
402 flu-Debbink TopNumbersOfVariants
525 flu-Debbink TopNumbersOfVariants
426 flu-Debbink TopNumbersOfVariants
406 flu-Debbink TopNumbersOfVariants
409 flu-Debbink TopNumbersOfVariants
403 flu-Debbink TopNumbersOfVariants
506 flu-Debbink TopNumbersOfVariants
512 flu-Debbink TopNumbersOfVariants
528 flu-Debbink TopNumbersOfVariants
524 flu-Debbink TopNumbersOfVariants
V130286 flu-Dinis TopNumbersOfVariants
U131146 flu-Dinis TopNumbersOfVariants
U131359 flu-Dinis TopNumbersOfVariants
U131062 flu-Dinis TopNumbersOfVariants
U130482 flu-Dinis TopNumbersOfVariants
U130585 flu-Dinis TopNumbersOfVariants
V130075 flu-Dinis TopNumbersOfVariants
V140586 flu-Dinis TopNumbersOfVariants
U140126 flu-Dinis TopNumbersOfVariants
U140097 flu-Dinis TopNumbersOfVariants
U140148 flu-Dinis TopNumbersOfVariants
U140219 flu-Dinis TopNumbersOfVariants
MH8156 flu-McCrone TopNumbersOfVariants
1241 flu-McCrone TopNumbersOfVariants
MH7799 flu-McCrone TopNumbersOfVariants
1201 flu-McCrone TopNumbersOfVariants
1217 flu-McCrone TopNumbersOfVariants
HS1294 flu-McCrone TopNumbersOfVariants
HS1530 flu-McCrone TopNumbersOfVariants
MH8690 flu-McCrone TopNumbersOfVariants
HS1375 flu-McCrone TopNumbersOfVariants
MH8688 flu-McCrone TopNumbersOfVariants
MH8137 flu-McCrone TopNumbersOfVariants
MH8125 flu-McCrone TopNumbersOfVariants
1134 flu-McCrone TopNumbersOfVariants
MH7860 flu-McCrone TopNumbersOfVariants
MH7852 flu-McCrone TopNumbersOfVariants
HS1405 flu-McCrone TopNumbersOfVariants
HS1364 flu-McCrone TopNumbersOfVariants
MH8390 flu-McCrone TopNumbersOfVariants
MH8589 flu-McCrone TopNumbersOfVariants
HS1377 flu-McCrone TopNumbersOfVariants
MH8159 flu-McCrone TopNumbersOfVariants
MH8586 flu-McCrone TopNumbersOfVariants
1137 flu-McCrone TopNumbersOfVariants
1364 flu-McCrone TopNumbersOfVariants
1142 flu-McCrone TopNumbersOfVariants
1362 flu-McCrone TopNumbersOfVariants
090 flu-Debbink LowCoverage
091 flu-Debbink LowCoverage
093 flu-Debbink LowCoverage
427 flu-Debbink LowCoverage
528 flu-Debbink LowCoverage
530 flu-Debbink LowCoverage
U130749 flu-Dinis LowCoverage
U131221 flu-Dinis LowCoverage
U140243 flu-Dinis LowCoverage
U140249 flu-Dinis LowCoverage
V130747 flu-Dinis LowCoverage
V130755 flu-Dinis LowCoverage
V140181 flu-Dinis LowCoverage
V140187 flu-Dinis LowCoverage
