Sample Project
MIX1A-NW-1 flu-Xue-chronic
MIX1A-NW-2 flu-Xue-chronic
W62A-NW-1 flu-Xue-chronic
W62A-NW-2 flu-Xue-chronic
W69A-NW-1 flu-Xue-chronic
W69A-NW-2 flu-Xue-chronic
Y07A-NW-1 flu-Xue-chronic
Y07A-NW-2 flu-Xue-chronic
Y35A-NW-1 flu-Xue-chronic
Y35A-NW-2 flu-Xue-chronic
Y63A-NW-1 flu-Xue-chronic
Y63A-NW-2 flu-Xue-chronic
Y70A-NW-1 flu-Xue-chronic
Y70A-NW-2 flu-Xue-chronic
Y77A-NW-1 flu-Xue-chronic
Y77A-NW-2 flu-Xue-chronic
Z14A-NW-1 flu-Xue-chronic
Z14A-NW-2 flu-Xue-chronic
Z69A-NW-1 flu-Xue-chronic
Z69A-NW-2 flu-Xue-chronic
HS1563 flu-McCrone
HS1562 flu-McCrone
HS1394 flu-McCrone
HS1461 flu-McCrone
HS1376 flu-McCrone
HS1604 flu-McCrone
HS1566 flu-McCrone
HS1340 flu-McCrone
HS1448 flu-McCrone
HS1579 flu-McCrone
HS1393 flu-McCrone
HS1416 flu-McCrone
HS1336 flu-McCrone
HS1335 flu-McCrone
HS1417 flu-McCrone
HS1531 flu-McCrone
HS1516 flu-McCrone
HS1284 flu-McCrone
HS1408 flu-McCrone
HS1409 flu-McCrone
HS1256 flu-McCrone
HS1328 flu-McCrone
HS1327 flu-McCrone
HS1313 flu-McCrone
HS1253 flu-McCrone
HS1385 flu-McCrone
HS1596 flu-McCrone
HS1465 flu-McCrone
HS1463 flu-McCrone
HS1460 flu-McCrone
HS1427 flu-McCrone
HS1517 flu-McCrone
HS1509 flu-McCrone
HS1381 flu-McCrone
HS1554 flu-McCrone
HS1392 flu-McCrone
HS1401 flu-McCrone
HS1351 flu-McCrone
HS1595 flu-McCrone
HS1487 flu-McCrone
HS1421 flu-McCrone
HS1474 flu-McCrone
HS1520 flu-McCrone
HS1505 flu-McCrone
HS1500 flu-McCrone
HS1510 flu-McCrone
HS1405 flu-McCrone
HS1387 flu-McCrone
HS1390 flu-McCrone
Brisbane flu-Debbink
Cal-H3N2 flu-Debbink
Cali_pool flu-McCrone
PC1A flu-McCrone
Perth_mp flu-McCrone
Vic_pool flu-McCrone
400 flu-Debbink
427 flu-Debbink
004 flu-Debbink
402 flu-Debbink
525 flu-Debbink
426 flu-Debbink
406 flu-Debbink
409 flu-Debbink
403 flu-Debbink
506 flu-Debbink
512 flu-Debbink
528 flu-Debbink
524 flu-Debbink
V130286 flu-Dinis
U131146 flu-Dinis
U131359 flu-Dinis
U131062 flu-Dinis
U130482 flu-Dinis
U130585 flu-Dinis
V130075 flu-Dinis
V140586 flu-Dinis
U140126 flu-Dinis
U140097 flu-Dinis
U140148 flu-Dinis
U140219 flu-Dinis
MH8156 flu-McCrone
1241 flu-McCrone
MH7799 flu-McCrone
1201 flu-McCrone
1217 flu-McCrone
HS1294 flu-McCrone
HS1530 flu-McCrone
MH8690 flu-McCrone
HS1375 flu-McCrone
MH8688 flu-McCrone
MH8137 flu-McCrone
MH8125 flu-McCrone
1134 flu-McCrone
MH7860 flu-McCrone
MH7852 flu-McCrone
HS1405 flu-McCrone
HS1364 flu-McCrone
MH8390 flu-McCrone
MH8589 flu-McCrone
HS1377 flu-McCrone
MH8159 flu-McCrone
MH8586 flu-McCrone
1137 flu-McCrone
1364 flu-McCrone
1142 flu-McCrone
1362 flu-McCrone
090 flu-Debbink
091 flu-Debbink
093 flu-Debbink
427 flu-Debbink
528 flu-Debbink
530 flu-Debbink
U130749 flu-Dinis
U131221 flu-Dinis
U140243 flu-Dinis
U140249 flu-Dinis
V130747 flu-Dinis
V130755 flu-Dinis
V140181 flu-Dinis
V140187 flu-Dinis
