Year CollectionDate Gene Subtype Syn Distance DivPerSite
1993 1993.123 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.246 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.132 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.184 1-PB2 H3N2 S 97 0.170254610884196
1993 1993 1-PB2 H3N2 S 102 0.179030621754516
1993 1993.088 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 99 0.173765015232324
1993 1993 1-PB2 H3N2 S 93 0.163233802187941
1993 1993.088 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.181 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.214 1-PB2 H3N2 S 100 0.175520217406388
1993 1993.296 1-PB2 H3N2 S 97 0.170254610884196
1993 1993.189 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.203 1-PB2 H3N2 S 97 0.170254610884196
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.186 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.132 1-PB2 H3N2 S 99 0.173765015232324
1993 1993 1-PB2 H3N2 S 105 0.184296228276707
1993 1993.123 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.145 1-PB2 H3N2 S 96 0.168499408710132
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.189 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.093 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.23 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 102 0.179030621754516
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 99 0.173765015232324
1993 1993.252 1-PB2 H3N2 S 99 0.173765015232324
1993 1993 1-PB2 H3N2 S 103 0.18078582392858
1993 1993.041 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.184 1-PB2 H3N2 S 97 0.170254610884196
1993 1993.164 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 100 0.175520217406388
1993 1993.167 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.203 1-PB2 H3N2 S 97 0.170254610884196
1993 1993.296 1-PB2 H3N2 S 97 0.170254610884196
1993 1993.184 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.107 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.142 1-PB2 H3N2 S 107 0.187806632624835
1993 1993 1-PB2 H3N2 S 101 0.177275419580452
1993 1993.093 1-PB2 H3N2 S 98 0.17200981305826
1993 1993.186 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 103 0.18078582392858
1993 1993.23 1-PB2 H3N2 S 100 0.175520217406388
1993 1993.153 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 97 0.170254610884196
1993 1993.164 1-PB2 H3N2 S 98 0.17200981305826
1993 1993 1-PB2 H3N2 S 98 0.17200981305826
1995 1995.104 1-PB2 H3N2 S 105 0.184296228276707
1995 1995.195 1-PB2 H3N2 S 105 0.184296228276707
1995 1995.162 1-PB2 H3N2 S 106 0.186051430450771
1995 1995.162 1-PB2 H3N2 S 107 0.187806632624835
1995 1995.044 1-PB2 H3N2 S 105 0.184296228276707
1995 1995.11 1-PB2 H3N2 S 105 0.184296228276707
1995 1995.022 1-PB2 H3N2 S 104 0.182541026102643
