Year CollectionDate Gene Subtype Syn Distance Outlier
2007 2007.137 1-PB2 H3N2 S 5 no
2007 2006.797 1-PB2 H3N2 S 23 no
2007 2007.449 1-PB2 H3N2 S 6 no
2007 2007.099 1-PB2 H3N2 S 5 no
2007 2007.468 1-PB2 H3N2 S 6 no
2007 2007.175 1-PB2 H3N2 S 15 no
2007 2007 1-PB2 H3N2 S 11 no
2007 2007.43 1-PB2 H3N2 S 5 no
2007 2007.477 1-PB2 H3N2 S 6 no
2007 2007.37 1-PB2 H3N2 S 8 no
2007 2007.06 1-PB2 H3N2 S 18 no
2007 2007.115 1-PB2 H3N2 S 7 no
2007 2007.468 1-PB2 H3N2 S 6 no
2007 2007 1-PB2 H3N2 S 0 no
2007 2007.112 1-PB2 H3N2 S 27 no
2007 2007.195 1-PB2 H3N2 S 16 no
2007 2007.118 1-PB2 H3N2 S 5 no
2007 2007.178 1-PB2 H3N2 S 8 no
2007 2007.099 1-PB2 H3N2 S 0 no
2007 2007.477 1-PB2 H3N2 S 6 no
2007 2007.104 1-PB2 H3N2 S 5 no
2007 2007.441 1-PB2 H3N2 S 6 no
2007 2007 1-PB2 H3N2 S 27 no
2007 2007.104 1-PB2 H3N2 S 6 no
2007 2007 1-PB2 H3N2 S 25 no
2007 2007.164 1-PB2 H3N2 S 8 no
2007 2007.181 1-PB2 H3N2 S 5 no
2007 2007.422 1-PB2 H3N2 S 6 no
2007 2007.468 1-PB2 H3N2 S 5 no
2007 2007.299 1-PB2 H3N2 S 14 no
2007 2006.877 1-PB2 H3N2 S 24 no
2007 2007.375 1-PB2 H3N2 S 7 no
2007 2007.104 1-PB2 H3N2 S 15 no
2007 2007.466 1-PB2 H3N2 S 6 no
2007 2007.488 1-PB2 H3N2 S 5 no
2007 2007.164 1-PB2 H3N2 S 12 no
2007 2007.156 1-PB2 H3N2 S 4 no
2007 2007.249 1-PB2 H3N2 S 5 no
2007 2006.819 1-PB2 H3N2 S 23 no
2007 2007.178 1-PB2 H3N2 S 5 no
2007 2007 1-PB2 H3N2 S 9 no
2007 2007.23 1-PB2 H3N2 S 11 no
2007 2007.441 1-PB2 H3N2 S 6 no
2007 2007.019 1-PB2 H3N2 S 21 no
2007 2006.896 1-PB2 H3N2 S 27 no
2007 2007.23 1-PB2 H3N2 S 9 no
2007 2007.153 1-PB2 H3N2 S 5 no
2007 2007.184 1-PB2 H3N2 S 8 no
2007 2007.425 1-PB2 H3N2 S 5 no
2007 2007.192 1-PB2 H3N2 S 16 no
2008 2008.134 1-PB2 H3N2 S 10 no
2008 2008.153 1-PB2 H3N2 S 10 no
2008 2007.605 1-PB2 H3N2 S 14 no
2008 2008.066 1-PB2 H3N2 S 8 no
2008 2008.194 1-PB2 H3N2 S 10 no
2008 2008.117 1-PB2 H3N2 S 9 no
2008 2008.131 1-PB2 H3N2 S 11 no
2008 2007.863 1-PB2 H3N2 S 10 no
2008 2008 1-PB2 H3N2 S 12 no
2008 2008.112 1-PB2 H3N2 S 10 no
2008 2007.748 1-PB2 H3N2 S 25 no
2008 2007.677 1-PB2 H3N2 S 8 no
2008 2008.148 1-PB2 H3N2 S 9 no
2008 2008.12 1-PB2 H3N2 S 13 no
2008 2008.077 1-PB2 H3N2 S 9 no
2008 2008.074 1-PB2 H3N2 S 12 no
2008 2008.131 1-PB2 H3N2 S 9 no
2008 2007.567 1-PB2 H3N2 S 11 no
2008 2008.178 1-PB2 H3N2 S 10 no
2008 2008.139 1-PB2 H3N2 S 9 no
2008 2007.636 1-PB2 H3N2 S 11 no
2008 2007.847 1-PB2 H3N2 S 8 no
2008 2008.038 1-PB2 H3N2 S 8 no
2008 2008.148 1-PB2 H3N2 S 8 no
2008 2008.158 1-PB2 H3N2 S 14 no
2008 2008.161 1-PB2 H3N2 S 9 no
2008 2008 1-PB2 H3N2 S 13 no
2008 2008.123 1-PB2 H3N2 S 9 no
2008 2007.805 1-PB2 H3N2 S 9 no
2008 2008.238 1-PB2 H3N2 S 11 no
2008 2008.12 1-PB2 H3N2 S 10 no
2008 2008 1-PB2 H3N2 S 11 no
2008 2008.139 1-PB2 H3N2 S 11 no
2008 2007.501 1-PB2 H3N2 S 27 no
2008 2008.074 1-PB2 H3N2 S 9 no
2008 2008.131 1-PB2 H3N2 S 11 no
2008 2008.12 1-PB2 H3N2 S 12 no
2008 2008.134 1-PB2 H3N2 S 10 no
2008 2008.044 1-PB2 H3N2 S 8 no
2008 2008.027 1-PB2 H3N2 S 12 no
2008 2008.055 1-PB2 H3N2 S 12 no
2008 2008.117 1-PB2 H3N2 S 11 no
2008 2008.175 1-PB2 H3N2 S 7 no
2008 2007.953 1-PB2 H3N2 S 8 no
2008 2008.172 1-PB2 H3N2 S 11 no
2008 2008 1-PB2 H3N2 S 10 no
2008 2008.134 1-PB2 H3N2 S 10 no
2008 2008.358 1-PB2 H3N2 S 11 no
2008 2008.139 1-PB2 H3N2 S 12 no
2008 2008.025 1-PB2 H3N2 S 10 no
2009 2008.803 1-PB2 H3N2 S 7 no
2009 2009.318 1-PB2 H3N2 S 21 no
2009 2009.32 1-PB2 H3N2 S 12 no
2009 2009.323 1-PB2 H3N2 S 13 no
2009 2009.32 1-PB2 H3N2 S 13 no
2009 2009.323 1-PB2 H3N2 S 16 no
2009 2009.331 1-PB2 H3N2 S 13 no
2009 2009.414 1-PB2 H3N2 S 16 no
2009 2009.342 1-PB2 H3N2 S 17 no
2009 2009.337 1-PB2 H3N2 S 12 no
