MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay Type Scale
0.005 H3N2 1-PB2 NS 8.37170385579849e-06 9.75971752257898e-07 flu-Debbink-0.005 acute
0.005 H3N2 1-PB2 S 2.14245273229452e-05 3.4853702110093e-06 flu-Debbink-0.005 acute
0.005 H3N2 1-PB2 Stop 1.55152644602818e-06 5.96611029848987e-07 flu-Debbink-0.005 acute
0.005 H3N2 2-PB1 NS 6.5739610666235e-06 1.07011185205662e-06 flu-Debbink-0.005 acute
0.005 H3N2 2-PB1 S 1.68022695921203e-05 2.93458170176499e-06 flu-Debbink-0.005 acute
0.005 H3N2 2-PB1 Stop 8.89687531829999e-07 3.99350015935905e-07 flu-Debbink-0.005 acute
0.005 H3N2 3-PA NS 7.22467113740033e-06 1.1887759971612e-06 flu-Debbink-0.005 acute
0.005 H3N2 3-PA S 1.7434151618114e-05 2.64424986890378e-06 flu-Debbink-0.005 acute
0.005 H3N2 3-PA Stop 3.00038091080319e-06 1.21690014133749e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA NS 8.42976557822089e-06 1.68928059848265e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA S 1.89036098276648e-05 4.56472653136515e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA Stop 5.09806470568158e-06 2.82240282781637e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley NS 2.82453711441993e-06 1.08509908239975e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley S 1.30992574218928e-05 1.07343084770341e-05 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wiley Stop 0 0 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf NS 6.39465302225386e-06 1.44871322764034e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf S 1.06923726499413e-05 2.89829673622921e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-antigenic-Wolf Stop 1.66443217226984e-06 1.18834231793115e-06 flu-Debbink-0.005 acute
0.005 H3N2 4-HA-nonantigenic-Wiley NS 8.74290683318184e-06 1.78392100970938e-06 flu-Debbink-0.005 acute
