MinFreq Project Subtype Sample NumVariants
0 flu-Barbezange H3N2 Barbezange-130 8953
0 flu-Barbezange H3N2 Barbezange-155 9537
0 flu-Barbezange H3N2 Barbezange-166 8863
0 flu-Barbezange H3N2 Barbezange-171 7655
0 flu-Barbezange H3N2 Barbezange-192 8364
0 flu-Barbezange H3N2 Barbezange-202 6845
0 flu-Barbezange H3N2 Barbezange-244 8186
0 flu-Barbezange H3N2 Barbezange-249 8320
0 flu-Barbezange H3N2 Barbezange-281 11318
0 flu-Barbezange H3N2 Barbezange-284 9832
0 flu-Barbezange H3N2 Barbezange-296 5891
0 flu-Barbezange H3N2 Barbezange-329 8603
0 flu-Barbezange H3N2 Barbezange-338 7089
0 flu-Barbezange H3N2 Barbezange-342 12505
0 flu-Barbezange H3N2 Barbezange-400 7083
0 flu-Barbezange H3N2 Barbezange-427 9332
0 flu-Barbezange H3N2 Barbezange-430 11137
0 flu-Barbezange H3N2 Barbezange-438 10642
0 flu-Barbezange H3N2 Barbezange-443 7104
0 flu-Barbezange H3N2 Barbezange-446 8771
0 flu-Barbezange H3N2 Barbezange-473 8155
0 flu-Barbezange H3N2 Barbezange-485 10052
0 flu-Barbezange H3N2 Barbezange-629 11184
0 flu-Barbezange H3N2 Barbezange-641 7250
0 flu-Barbezange H3N2 Barbezange-676 9729
0 flu-Barbezange H3N2 Barbezange-718 8597
0 flu-Barbezange H3N2 Barbezange-752 9755
0 flu-Barbezange H3N2 Barbezange-760 10272
0 flu-Barbezange H3N2 Barbezange-816 6225
0 flu-Barbezange H3N2 Barbezange-822 9709
0 flu-Barbezange H3N2 Barbezange-833 7557
0 flu-Barbezange H3N2 Barbezange-858 10239
0 flu-Barbezange H3N2 Barbezange-862 10551
0 flu-Barbezange H3N2 Barbezange-915 10353
0 flu-Barbezange H3N2 Barbezange-986 7854
0 flu-Barbezange pdmH1N1 Barbezange-154 11119
0 flu-Barbezange pdmH1N1 Barbezange-182 2259
0 flu-Barbezange pdmH1N1 Barbezange-208 2575
0 flu-Barbezange pdmH1N1 Barbezange-258 5071
0 flu-Barbezange pdmH1N1 Barbezange-282 4862
0 flu-Barbezange pdmH1N1 Barbezange-291 2572
0 flu-Barbezange pdmH1N1 Barbezange-347 6377
0 flu-Barbezange pdmH1N1 Barbezange-355 2629
0 flu-Barbezange pdmH1N1 Barbezange-373 2095
0 flu-Barbezange pdmH1N1 Barbezange-379 3728
0 flu-Barbezange pdmH1N1 Barbezange-398 4582
0 flu-Barbezange pdmH1N1 Barbezange-435 10014
0 flu-Barbezange pdmH1N1 Barbezange-495 9312
0 flu-Barbezange pdmH1N1 Barbezange-528 12481
0 flu-Barbezange pdmH1N1 Barbezange-531 1934
0 flu-Barbezange pdmH1N1 Barbezange-634 5403
0 flu-Barbezange pdmH1N1 Barbezange-639 3284
0 flu-Barbezange pdmH1N1 Barbezange-647 5789
0 flu-Barbezange pdmH1N1 Barbezange-659 3845
0 flu-Barbezange pdmH1N1 Barbezange-660 9676
0 flu-Barbezange pdmH1N1 Barbezange-681 2577
0 flu-Barbezange pdmH1N1 Barbezange-687 10717
0 flu-Barbezange pdmH1N1 Barbezange-696 12005
0 flu-Barbezange pdmH1N1 Barbezange-706 2996
0 flu-Barbezange pdmH1N1 Barbezange-720 4284
0 flu-Barbezange pdmH1N1 Barbezange-722 10137
0 flu-Barbezange pdmH1N1 Barbezange-724 6987
0 flu-Barbezange pdmH1N1 Barbezange-734 3181
0 flu-Barbezange pdmH1N1 Barbezange-767 4352
0 flu-Barbezange pdmH1N1 Barbezange-781 10378
0 flu-Barbezange pdmH1N1 Barbezange-835 3711
0 flu-Barbezange pdmH1N1 Barbezange-850 5011
0 flu-Barbezange pdmH1N1 Barbezange-894 5699
0 flu-Barbezange pdmH1N1 Barbezange-899 11798
0 flu-Barbezange pdmH1N1 Barbezange-925 2678
0 flu-Barbezange pdmH1N1 Barbezange-943 9892
0 flu-Barbezange pdmH1N1 Barbezange-963 11222
0 flu-Barbezange pdmH1N1 Barbezange-991 7157
0 flu-Barbezange pdmH1N1 Barbezange-995 9191
0 flu-Barbezange seasonalH1N1 Barbezange-122 7832
0 flu-Barbezange seasonalH1N1 Barbezange-131 11432
0 flu-Barbezange seasonalH1N1 Barbezange-144 9022
0 flu-Barbezange seasonalH1N1 Barbezange-219 7648
0 flu-Barbezange seasonalH1N1 Barbezange-220 11714
0 flu-Barbezange seasonalH1N1 Barbezange-290 7983
0 flu-Barbezange seasonalH1N1 Barbezange-337 9756
0 flu-Barbezange seasonalH1N1 Barbezange-405 10423
0 flu-Barbezange seasonalH1N1 Barbezange-442 8725
0 flu-Barbezange seasonalH1N1 Barbezange-453 7794
0 flu-Barbezange seasonalH1N1 Barbezange-459 6475
0 flu-Barbezange seasonalH1N1 Barbezange-486 8787
0 flu-Barbezange seasonalH1N1 Barbezange-534 11832
0 flu-Barbezange seasonalH1N1 Barbezange-562 8214
0 flu-Barbezange seasonalH1N1 Barbezange-578 9560
0 flu-Barbezange seasonalH1N1 Barbezange-617 7888
0 flu-Barbezange seasonalH1N1 Barbezange-624 7679
