,season,SPECID1,SPECID2,L1_norm,valid,Household
1,2010-2011,M54206,M54205,1.654094514,TRUE,TRUE
2,2010-2011,M53523,M54205,214.7746245,FALSE,FALSE
3,2010-2011,M54062,M54205,100.7809405,FALSE,FALSE
4,2010-2011,M53523,M54206,216.1822714,FALSE,FALSE
5,2010-2011,M54062,M54206,102.435035,FALSE,FALSE
6,2010-2011,M54206,M54207,2.064553815,TRUE,TRUE
7,2010-2011,M53523,M54207,217.2281318,FALSE,FALSE
8,2010-2011,M54062,M54207,103.4808955,FALSE,FALSE
9,2010-2011,M53523,M54062,233.8498639,FALSE,FALSE
10,2010-2011,M54586,M54585,3.138567514,TRUE,TRUE
11,2010-2011,M53769,M54585,348.4122277,FALSE,FALSE
12,2010-2011,M54369,M54585,94.05968703,FALSE,FALSE
13,2010-2011,M53302,M54585,100.5745392,FALSE,FALSE
14,2010-2011,M54375,M54585,106.327603,FALSE,FALSE
15,2010-2011,M54374,M54585,105.9347672,FALSE,FALSE
16,2010-2011,M54053,M54585,107.9347672,FALSE,FALSE
17,2010-2011,M54310,M54585,97.9347672,FALSE,FALSE
18,2010-2011,M54181,M54585,92.16206228,FALSE,FALSE
19,2010-2011,M53671,M54585,95.45358925,FALSE,FALSE
20,2010-2011,M53672,M54585,94.02411573,FALSE,FALSE
21,2010-2011,M53769,M54586,347.6812608,FALSE,FALSE
22,2010-2011,M54369,M54586,93.32872014,FALSE,FALSE
23,2010-2011,M53302,M54586,99.84357236,FALSE,FALSE
24,2010-2011,M54375,M54586,105.5966361,FALSE,FALSE
25,2010-2011,M54374,M54586,105.2038003,FALSE,FALSE
26,2010-2011,M54053,M54586,107.2038003,FALSE,FALSE
27,2010-2011,M54310,M54586,97.20380032,FALSE,FALSE
28,2010-2011,M54181,M54586,91.43109539,FALSE,FALSE
29,2010-2011,M53671,M54586,94.72262236,FALSE,FALSE
30,2010-2011,M53672,M54586,93.29314884,FALSE,FALSE
31,2010-2011,M53302,M53769,333.1172326,FALSE,FALSE
32,2010-2011,M53671,M53769,327.9962826,FALSE,FALSE
33,2010-2011,M53672,M53769,326.566809,FALSE,FALSE
34,2010-2011,M54585,M54913,108.6084886,FALSE,FALSE
35,2010-2011,M54586,M54913,107.8775217,FALSE,FALSE
36,2010-2011,M53769,M54913,337.1511819,FALSE,FALSE
37,2010-2011,M54369,M54913,86.7986412,FALSE,FALSE
38,2010-2011,M54659,M54913,90.9371912,FALSE,FALSE
39,2010-2011,M54805,M54913,108.9318227,FALSE,FALSE
40,2010-2011,M54791,M54913,438.8454877,FALSE,FALSE
41,2010-2011,M53302,M54913,101.3134934,FALSE,FALSE
42,2010-2011,M54375,M54913,51.0665572,FALSE,FALSE
43,2010-2011,M54374,M54913,50.67372137,FALSE,FALSE
44,2010-2011,M54053,M54913,112.6737214,FALSE,FALSE
45,2010-2011,M54580,M54913,106.7694243,FALSE,FALSE
46,2010-2011,M54310,M54913,90.67372137,FALSE,FALSE
47,2010-2011,M54181,M54913,36.90101645,FALSE,FALSE
48,2010-2011,M54724,M54913,93.41375464,FALSE,FALSE
49,2010-2011,M54726,M54913,94.11472519,FALSE,FALSE
50,2010-2011,M53671,M54913,88.19254342,FALSE,FALSE
51,2010-2011,M53672,M54913,86.7630699,FALSE,FALSE
52,2010-2011,M54585,M55001,348.1173995,FALSE,FALSE
53,2010-2011,M54586,M55001,347.3864326,FALSE,FALSE
54,2010-2011,M53769,M55001,198.4465648,FALSE,FALSE
55,2010-2011,M54913,M55001,336.9959808,FALSE,FALSE
56,2010-2011,M54659,M55001,324.6612602,FALSE,FALSE
57,2010-2011,M54805,M55001,348.4407337,FALSE,FALSE
58,2010-2011,M54791,M55001,398.3543987,FALSE,FALSE
59,2010-2011,M53302,M55001,332.8224044,FALSE,FALSE
60,2010-2011,M54375,M55001,334.7150953,FALSE,FALSE
61,2010-2011,M54374,M55001,334.3222595,FALSE,FALSE
62,2010-2011,M54053,M55001,348.1826323,FALSE,FALSE
63,2010-2011,M54580,M55001,346.2783352,FALSE,FALSE
64,2010-2011,M54310,M55001,330.1826323,FALSE,FALSE
65,2010-2011,M54181,M55001,320.5495545,FALSE,FALSE
66,2010-2011,M54724,M55001,328.9226656,FALSE,FALSE
67,2010-2011,M54726,M55001,330.7416285,FALSE,FALSE
68,2010-2011,M53671,M55001,327.7014544,FALSE,FALSE
69,2010-2011,M53672,M55001,326.2719809,FALSE,FALSE
70,2010-2011,M53769,M54369,326.6023803,FALSE,FALSE
71,2010-2011,M53302,M54369,82.76469188,FALSE,FALSE
72,2010-2011,M54053,M54369,78.12491983,FALSE,FALSE
73,2010-2011,M54310,M54369,12.12491983,FALSE,FALSE
74,2010-2011,M54181,M54369,70.35221491,FALSE,FALSE
75,2010-2011,M53671,M54369,5.643741879,FALSE,FALSE
76,2010-2011,M53672,M54369,4.214268357,FALSE,FALSE
77,2010-2011,M54585,M54659,98.19823702,FALSE,FALSE
78,2010-2011,M54586,M54659,97.46727014,FALSE,FALSE
79,2010-2011,M53769,M54659,328.9560884,FALSE,FALSE
80,2010-2011,M54369,M54659,40.38838965,FALSE,FALSE
81,2010-2011,M53302,M54659,86.90324187,FALSE,FALSE
82,2010-2011,M54375,M54659,88.65630565,FALSE,FALSE
83,2010-2011,M54374,M54659,88.26346983,FALSE,FALSE
84,2010-2011,M54053,M54659,82.26346983,FALSE,FALSE
85,2010-2011,M54580,M54659,96.35917272,FALSE,FALSE
86,2010-2011,M54310,M54659,44.26346983,FALSE,FALSE
87,2010-2011,M54181,M54659,74.4907649,FALSE,FALSE
88,2010-2011,M53671,M54659,41.78229187,FALSE,FALSE
89,2010-2011,M53672,M54659,40.35281835,FALSE,FALSE
90,2010-2011,M54585,M54805,4.192868548,FALSE,FALSE
91,2010-2011,M54586,M54805,3.461901663,FALSE,FALSE
92,2010-2011,M53769,M54805,348.7355619,FALSE,FALSE
93,2010-2011,M54369,M54805,94.38302118,FALSE,FALSE
94,2010-2011,M54659,M54805,98.52157117,FALSE,FALSE
95,2010-2011,M53302,M54805,100.8978734,FALSE,FALSE
96,2010-2011,M54375,M54805,106.6509372,FALSE,FALSE
97,2010-2011,M54374,M54805,106.2581013,FALSE,FALSE
98,2010-2011,M54053,M54805,108.2581013,FALSE,FALSE
99,2010-2011,M54580,M54805,2.353804243,FALSE,FALSE
100,2010-2011,M54310,M54805,98.25810135,FALSE,FALSE
101,2010-2011,M54181,M54805,92.48539643,FALSE,FALSE
102,2010-2011,M54724,M54805,100.9981346,FALSE,FALSE
103,2010-2011,M54726,M54805,102.8170975,FALSE,FALSE
104,2010-2011,M53671,M54805,95.7769234,FALSE,FALSE
105,2010-2011,M53672,M54805,94.34744988,FALSE,FALSE
106,2010-2011,M54585,M54791,440.1065336,FALSE,FALSE
107,2010-2011,M54586,M54791,439.3755667,FALSE,FALSE
108,2010-2011,M53769,M54791,400.6492269,FALSE,FALSE
109,2010-2011,M54369,M54791,424.2966862,FALSE,FALSE
110,2010-2011,M54659,M54791,422.6503942,FALSE,FALSE
