AvgSpotLen	BioSample	DATASTORE_provider	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	isolate	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collected_by	geo_loc_name	host	host_disease	isolation_source	lat_lon	strain
292	SAMN07768138	ncbi	SRX3270864	WSPHL5-2	100	42	SRR6159210	SRS2582474	WSPHL5	2015	A/Washington/08/2014	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
287	SAMN07768138	ncbi	SRX3270863	WSPHL5-1	42	19	SRR6159211	SRS2582474	WSPHL5	2015	A/Washington/08/2014	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
290	SAMN07768134	ncbi	SRX3270862	WSPHL1-2	86	37	SRR6159212	SRS2582473	WSPHL1	2013	A/Washington/10/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
280	SAMN07768134	ncbi	SRX3270861	WSPHL1-1	55	25	SRR6159213	SRS2582473	WSPHL1	2013	A/Washington/10/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
292	SAMN07768135	ncbi	SRX3270860	WSPHL2-2	57	24	SRR6159214	SRS2582472	WSPHL2	2013	A/Washington/13/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
290	SAMN07768135	ncbi	SRX3270859	WSPHL2-1	36	15	SRR6159215	SRS2582472	WSPHL2	2013	A/Washington/13/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra		0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
286	SAMN07768136	sra-sos	SRX3270858	WSPHL3-2	87	37	SRR6159216	SRS2582471	WSPHL3	2013	A/Washington/17/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra	sra-sos.public	0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
290	SAMN07768136	sra-sos	SRX3270857	WSPHL3-1	55	24	SRR6159217	SRS2582471	WSPHL3	2013	A/Washington/17/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra	sra-sos.public	0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
289	SAMN07768137	sra-sos	SRX3270856	WSPHL4-2	81	34	SRR6159218	SRS2582470	WSPHL4	2013	A/Washington/18/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra	sra-sos.public	0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
261	SAMN07768137	sra-sos	SRX3270855	WSPHL4-1	35	17	SRR6159219	SRS2582470	WSPHL4	2013	A/Washington/18/2013	WGS	PRJNA412675	Pathogen.cl	FRED HUTCHINSON CANCER RESEARCH CENTER	public	sra	sra-sos.public	0	NextSeq 500	PAIRED	RT-PCR	VIRAL RNA	2017-10-11	Influenza A virus	ILLUMINA	2017-10-11	SRP119773	Washington State Public Health Laboratory	USA: Washington	Homo sapiens	influenza	nasal swab	47.6273 N 122.3315 W	H3N2
