MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 H3N2 1-PB2 NS 6.35903325419043e-06 2.02755860894368e-06
0.005 H3N2 1-PB2 S 7.97995232490971e-06 7.42973842987722e-06
0.005 H3N2 1-PB2 Stop 1.85899745385269e-06 8.96670888705305e-07
0.005 H3N2 2-PB1 NS 4.27221660882054e-06 1.92028065019487e-06
0.005 H3N2 2-PB1 S 1.51659091939336e-05 7.4390972923954e-06
0.005 H3N2 2-PB1 Stop 6.70787362572357e-07 5.82027589280067e-07
0.005 H3N2 3-PA NS 8.15714323918259e-06 2.28972159602087e-06
0.005 H3N2 3-PA S 4.89372900461067e-06 7.18526830906116e-06
0.005 H3N2 3-PA Stop 2.53493625839598e-06 4.38224491749691e-06
0.005 H3N2 4-HA NS 1.8080981445839e-06 2.70882380266145e-06
0.005 H3N2 4-HA S 1.26749197109113e-05 7.32212531593706e-06
0.005 H3N2 4-HA Stop 6.03117845514809e-06 4.33579763029364e-06
0.005 H3N2 4-HA-antigenic-Wiley NS 2.0871150918332e-06 7.62569490543609e-06
0.005 H3N2 4-HA-antigenic-Wiley S 1.10682309313287e-05 1.64262561246242e-05
0.005 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.005 H3N2 4-HA-antigenic-Wolf NS 3.50168557525665e-06 3.60274929285908e-06
0.005 H3N2 4-HA-antigenic-Wolf S 1.42959248419051e-05 1.7226034873752e-05
0.005 H3N2 4-HA-antigenic-Wolf Stop 1.59935798728925e-06 1.25860678890873e-06
0.005 H3N2 4-HA-nonantigenic-Wiley NS 1.79251060563144e-06 2.84490785713274e-06
0.005 H3N2 4-HA-nonantigenic-Wiley S 1.27646788606086e-05 7.6957391886778e-06
0.005 H3N2 4-HA-nonantigenic-Wiley Stop 6.36811579901109e-06 4.57802096159495e-06
0.005 H3N2 4-HA-nonantigenic-Wolf NS 1.30930184650906e-06 3.30212720411259e-06
0.005 H3N2 4-HA-nonantigenic-Wolf S 1.21975003915089e-05 8.040848992328e-06
0.005 H3N2 4-HA-nonantigenic-Wolf Stop 7.33644064773663e-06 5.55148308390986e-06
0.005 H3N2 5-NP NS 8.39437473338711e-06 3.12561686700397e-06
0.005 H3N2 5-NP S 1.65457235366124e-05 6.49579311484581e-06
0.005 H3N2 5-NP Stop -7.00035173686647e-08 7.99732413688028e-07
0.005 H3N2 6-NA NS 8.28771174433347e-06 4.39180486723662e-06
0.005 H3N2 6-NA S 7.79501058041992e-06 4.89458410714493e-06
0.005 H3N2 6-NA Stop 3.95975015359547e-06 2.97340141519139e-06
0.005 H3N2 6-NA-nonsurface-Bhatt NS 2.7965262808884e-06 2.72657949638513e-06
0.005 H3N2 6-NA-nonsurface-Bhatt S 9.18185042989853e-06 7.60281032159641e-06
0.005 H3N2 6-NA-nonsurface-Bhatt Stop 1.38655592379096e-06 2.9861284959012e-06
0.005 H3N2 6-NA-surface-Bhatt NS 1.43182100657954e-05 7.50032716565176e-06
0.005 H3N2 6-NA-surface-Bhatt S 6.27196324572465e-06 4.98591266121754e-06
0.005 H3N2 6-NA-surface-Bhatt Stop 6.78566881668438e-06 5.3399482216239e-06
0.005 H3N2 7-M1 NS 9.31258117692041e-06 3.27993917899077e-06
0.005 H3N2 7-M1 S 1.91144813306276e-06 1.06897383712086e-05
