MinFreq Project Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 flu-Debbink H3N2 1-PB2 NS 8.37170385579849e-06 9.75971752257898e-07
0.005 flu-Debbink H3N2 1-PB2 S 2.14245273229452e-05 3.4853702110093e-06
0.005 flu-Debbink H3N2 1-PB2 Stop 1.55152644602818e-06 5.96611029848987e-07
0.005 flu-Debbink H3N2 2-PB1 NS 6.5739610666235e-06 1.07011185205662e-06
0.005 flu-Debbink H3N2 2-PB1 S 1.68022695921203e-05 2.93458170176499e-06
0.005 flu-Debbink H3N2 2-PB1 Stop 8.89687531829999e-07 3.99350015935905e-07
0.005 flu-Debbink H3N2 3-PA NS 7.22467113740033e-06 1.1887759971612e-06
0.005 flu-Debbink H3N2 3-PA S 1.7434151618114e-05 2.64424986890378e-06
0.005 flu-Debbink H3N2 3-PA Stop 3.00038091080319e-06 1.21690014133749e-06
0.005 flu-Debbink H3N2 4-HA NS 8.42976557822089e-06 1.68928059848265e-06
0.005 flu-Debbink H3N2 4-HA S 1.89036098276648e-05 4.56472653136515e-06
0.005 flu-Debbink H3N2 4-HA Stop 5.09806470568158e-06 2.82240282781637e-06
0.005 flu-Debbink H3N2 4-HA-antigenic-Wiley NS 2.82453711441993e-06 1.08509908239975e-06
0.005 flu-Debbink H3N2 4-HA-antigenic-Wiley S 1.30992574218928e-05 1.07343084770341e-05
0.005 flu-Debbink H3N2 4-HA-antigenic-Wiley Stop 0 0
0.005 flu-Debbink H3N2 4-HA-antigenic-Wolf NS 6.39465302225386e-06 1.44871322764034e-06
0.005 flu-Debbink H3N2 4-HA-antigenic-Wolf S 1.06923726499413e-05 2.89829673622921e-06
0.005 flu-Debbink H3N2 4-HA-antigenic-Wolf Stop 1.66443217226984e-06 1.18834231793115e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wiley NS 8.74290683318184e-06 1.78392100970938e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wiley S 1.9227875325194e-05 4.80061076737194e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wiley Stop 5.38287278979786e-06 2.98007896344857e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wolf NS 9.02914804333447e-06 2.1230536309256e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wolf S 2.1321987900556e-05 5.89024923786379e-06
0.005 flu-Debbink H3N2 4-HA-nonantigenic-Wolf Stop 6.10934004086448e-06 3.60272504399297e-06
0.005 flu-Debbink H3N2 5-NP NS 9.04923063734402e-06 1.89558615905472e-06
0.005 flu-Debbink H3N2 5-NP S 1.60058660950942e-05 2.58401870348494e-06
0.005 flu-Debbink H3N2 5-NP Stop 1.08761754201976e-06 7.81759686972186e-07
0.005 flu-Debbink H3N2 6-NA NS 1.03092559807621e-05 1.83628083263629e-06
0.005 flu-Debbink H3N2 6-NA S 1.28083766407998e-05 2.75411964654541e-06
0.005 flu-Debbink H3N2 6-NA Stop 3.96136489203902e-06 1.80004500550817e-06
0.005 flu-Debbink H3N2 6-NA-nonsurface-Bhatt NS 5.89925269994183e-06 1.07209127336913e-06
0.005 flu-Debbink H3N2 6-NA-nonsurface-Bhatt S 1.50922378627449e-05 4.54227813963785e-06
0.005 flu-Debbink H3N2 6-NA-nonsurface-Bhatt Stop 4.28413992260472e-06 2.15239795557537e-06
0.005 flu-Debbink H3N2 6-NA-surface-Bhatt NS 1.51523845838058e-05 3.31392729129927e-06
0.005 flu-Debbink H3N2 6-NA-surface-Bhatt S 1.03002076202708e-05 2.15490167556289e-06
0.005 flu-Debbink H3N2 6-NA-surface-Bhatt Stop 3.60688874239989e-06 3.00113586816027e-06
0.005 flu-Debbink H3N2 7-M1 NS 4.12720872363495e-06 7.52603556904619e-07
0.005 flu-Debbink H3N2 7-M1 S 1.32746460042164e-05 4.71555756658554e-06
0.005 flu-Debbink H3N2 7-M1 Stop 7.1674861574414e-06 3.82690750006433e-06
0.005 flu-Debbink H3N2 7-M2 NS 1.29501176820782e-05 5.28634012029648e-06
0.005 flu-Debbink H3N2 7-M2 S 7.40117520174067e-06 1.65101850012685e-06
