MinFreq Subtype Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 H3N2 1-PB2 NS 6.7389830607085e-06 7.8353075676687e-07
0.005 H3N2 1-PB2 S 1.84272338360608e-05 2.64180717780257e-06
0.005 H3N2 1-PB2 Stop 6.42863547358289e-07 2.51196358505546e-07
0.005 H3N2 2-PB1 NS 5.27233935735703e-06 8.1588509372439e-07
0.005 H3N2 2-PB1 S 1.6794289406115e-05 2.75862494406537e-06
0.005 H3N2 2-PB1 Stop 4.8465642613238e-07 2.02760428062354e-07
0.005 H3N2 3-PA NS 6.41293029558523e-06 6.82638058936423e-07
0.005 H3N2 3-PA S 1.76993643390599e-05 2.98536961512202e-06
0.005 H3N2 3-PA Stop 2.86359788030736e-06 1.46737859327768e-06
0.005 H3N2 4-HA NS 8.20994872017367e-06 9.70406711805482e-07
0.005 H3N2 4-HA S 1.58830887308253e-05 2.19881456241838e-06
0.005 H3N2 4-HA Stop 2.31145056964685e-06 1.07739911996589e-06
0.005 H3N2 4-HA-antigenic-Wiley NS 7.18738130818616e-06 2.58586333110372e-06
0.005 H3N2 4-HA-antigenic-Wiley S 1.46411892532669e-05 7.87033493894596e-06
0.005 H3N2 4-HA-antigenic-Wiley Stop 0 0
0.005 H3N2 4-HA-antigenic-Wolf NS 9.34175072991261e-06 1.87490851243219e-06
0.005 H3N2 4-HA-antigenic-Wolf S 1.6879732991268e-05 4.88689368612769e-06
0.005 H3N2 4-HA-antigenic-Wolf Stop 1.02303131713919e-06 6.10610262424768e-07
0.005 H3N2 4-HA-nonantigenic-Wiley NS 8.26707539123443e-06 1.01943600252233e-06
0.005 H3N2 4-HA-nonantigenic-Wiley S 1.59524685899068e-05 2.28054615139165e-06
0.005 H3N2 4-HA-nonantigenic-Wiley Stop 2.44058188638689e-06 1.13758901493605e-06
0.005 H3N2 4-HA-nonantigenic-Wolf NS 7.87660977209987e-06 1.09864323018942e-06
0.005 H3N2 4-HA-nonantigenic-Wolf S 1.55895565171333e-05 2.41912961660752e-06
0.005 H3N2 4-HA-nonantigenic-Wolf Stop 2.69091651387855e-06 1.37243951064158e-06
0.005 H3N2 5-NP NS 5.61338720454938e-06 9.32166089424949e-07
0.005 H3N2 5-NP S 1.53582245036115e-05 2.23096128580525e-06
0.005 H3N2 5-NP Stop 4.50646312231293e-07 3.24771911102417e-07
0.005 H3N2 6-NA NS 9.48242173370292e-06 1.68759714004722e-06
0.005 H3N2 6-NA S 1.10500385553799e-05 1.87867151150011e-06
0.005 H3N2 6-NA Stop 1.8084146420076e-06 7.70759450187163e-07
0.005 H3N2 6-NA-nonsurface-Bhatt NS 4.41969661100643e-06 1.04261728387298e-06
0.005 H3N2 6-NA-nonsurface-Bhatt S 1.34140659426668e-05 3.07523551108939e-06
0.005 H3N2 6-NA-nonsurface-Bhatt Stop 2.09426675695087e-06 9.51847344085024e-07
0.005 H3N2 6-NA-surface-Bhatt NS 1.50423787880928e-05 2.8785879554401e-06
0.005 H3N2 6-NA-surface-Bhatt S 8.45382990684166e-06 1.94867068367294e-06
