MinFreq Replicate Gene Syn MeanDivPerSitePerDay SEDivPerSitePerDay
0.005 1 1-PB2 NS -1.62362253592583e-07 9.86748714885958e-07
0.005 1 1-PB2 S 1.77361739115774e-05 3.54628509076636e-06
0.005 1 1-PB2 Stop -3.27821237653289e-07 5.88363664551228e-07
0.005 1 2-PB1 NS 1.15582415905377e-06 7.76154698574288e-07
0.005 1 2-PB1 S 9.34598905228258e-06 4.10614152176868e-06
0.005 1 2-PB1 Stop 1.05954637243723e-06 7.9140424101414e-07
0.005 1 3-PA NS 1.23962478772664e-05 5.54406236974925e-06
0.005 1 3-PA S 5.97990636322744e-06 5.0747146741917e-06
0.005 1 3-PA Stop 2.54087359953976e-08 1.55694122089937e-06
0.005 1 4-HA NS 1.60065814957701e-05 3.6591177899658e-06
0.005 1 4-HA S 2.76016804666621e-05 1.1218279055488e-05
0.005 1 4-HA Stop 1.1803113771912e-06 1.22442155362044e-06
0.005 1 5-NP NS 6.12599715308595e-06 1.85507871347927e-06
0.005 1 5-NP S 1.99278292504982e-05 8.72882154187937e-06
0.005 1 5-NP Stop -2.56147789039093e-07 7.83567765012828e-07
0.005 1 6-NA NS 3.30062560315236e-05 9.7017816308801e-06
0.005 1 6-NA S 1.67769276257748e-05 7.47165679040244e-06
0.005 1 6-NA Stop 3.94866288620414e-06 1.9390547615792e-06
0.005 1 7-M1 NS 6.98138804814666e-06 2.87058227756014e-06
0.005 1 7-M1 S -3.07117479366181e-06 3.32803373084459e-06
0.005 1 7-M1 Stop 1.70343031357182e-06 6.69003742803203e-07
0.005 1 7-M2 NS 2.89866657781184e-08 2.54886676090181e-07
0.005 1 7-M2 S -2.15628289115581e-06 9.09444519370205e-06
0.005 1 7-M2 Stop -7.97956806989252e-07 1.04993896878915e-06
0.005 1 8-NEP NS 1.93872826312672e-05 1.00015116363373e-05
0.005 1 8-NEP S -2.93906973289776e-06 2.45588931720422e-06
0.005 1 8-NEP Stop 0 0
0.005 1 8-NS1 NS 1.10768361002206e-05 6.79987855587248e-06
0.005 1 8-NS1 S 5.60371745895307e-06 5.11996036712709e-06
0.005 1 8-NS1 Stop 1.45923837092427e-06 1.21847704836946e-06
0.005 2 1-PB2 NS -4.06746468178665e-07 9.24866068922394e-07
0.005 2 1-PB2 S 1.90902499762987e-05 3.65633848494179e-06
0.005 2 1-PB2 Stop -6.66343290432802e-07 9.35668655087351e-07
0.005 2 2-PB1 NS 7.41241558918391e-07 6.93413680799111e-07
0.005 2 2-PB1 S 7.27841237335491e-06 4.2036838312406e-06
0.005 2 2-PB1 Stop -4.79839687840256e-07 5.85709806361086e-07
0.005 2 3-PA NS 1.26936705583893e-05 5.57983642064403e-06
0.005 2 3-PA S 5.24068396727766e-06 5.3169665917408e-06
0.005 2 3-PA Stop -7.31928791027842e-07 4.08192373952434e-07
0.005 2 4-HA NS 1.71940140317999e-05 3.55618351997782e-06
0.005 2 4-HA S 2.71867017845241e-05 1.12013810652336e-05
0.005 2 4-HA Stop 3.03142079627348e-07 1.48387517015481e-07
0.005 2 5-NP NS 6.34131500911747e-06 1.84397485532483e-06
0.005 2 5-NP S 1.99437708830647e-05 5.62112546624272e-06
0.005 2 5-NP Stop -6.15281788286983e-07 7.05431944219965e-07
0.005 2 6-NA NS 2.75087590782028e-05 6.46824015499221e-06
0.005 2 6-NA S 1.95025307636393e-05 6.90115378061987e-06
0.005 2 6-NA Stop -2.62359401974184e-07 7.5812741976779e-07
0.005 2 7-M1 NS 6.69195858755573e-06 3.0206657474872e-06
0.005 2 7-M1 S -3.29298708515341e-06 3.37408235609525e-06
0.005 2 7-M1 Stop 0 0
0.005 2 7-M2 NS -4.91702383363993e-07 3.88790131366196e-07
0.005 2 7-M2 S -2.24827915962976e-06 9.29405673274596e-06
0.005 2 7-M2 Stop 0 0
0.005 2 8-NEP NS 2.2305726158914e-05 1.00944126387895e-05
0.005 2 8-NEP S -2.37711768249297e-07 7.65066134670184e-07
0.005 2 8-NEP Stop 2.49544908619599e-06 2.17323647909242e-06
0.005 2 8-NS1 NS 1.31670103927349e-05 6.92127912156841e-06
0.005 2 8-NS1 S 8.47730477147063e-06 5.06611899754551e-06
0.005 2 8-NS1 Stop -6.21095180712744e-07 1.43220140212665e-06
0.01 1 1-PB2 NS -1.16653912690716e-07 9.94496646718262e-07
0.01 1 1-PB2 S 1.75623222221801e-05 3.53545179927647e-06
0.01 1 1-PB2 Stop -4.20297501950128e-08 3.73472656677435e-07
0.01 1 2-PB1 NS 1.30495582207907e-06 7.75394755637622e-07
0.01 1 2-PB1 S 9.34157174714181e-06 4.04455450401804e-06
0.01 1 2-PB1 Stop 9.90478465484635e-07 7.83582869781568e-07
0.01 1 3-PA NS 1.28158165027132e-05 5.55268838997483e-06
0.01 1 3-PA S 6.18795146261902e-06 5.17928517516684e-06
0.01 1 3-PA Stop 8.56151507522073e-07 1.46957751282896e-06
0.01 1 4-HA NS 1.60491082009159e-05 3.63022018530834e-06
0.01 1 4-HA S 2.71194051216614e-05 1.11300275111153e-05
0.01 1 4-HA Stop 1.43920045752529e-06 1.20174521204966e-06
0.01 1 5-NP NS 6.41687871131186e-06 1.85064927314733e-06
0.01 1 5-NP S 2.04461796393548e-05 8.61333258078675e-06
0.01 1 5-NP Stop 2.05407958962939e-07 7.47683957612299e-07
0.01 1 6-NA NS 3.33508758951501e-05 9.72105967658825e-06
0.01 1 6-NA S 1.66231462766157e-05 7.41482963695478e-06
0.01 1 6-NA Stop 3.47074578511148e-06 1.80047858452372e-06
0.01 1 7-M1 NS 7.02172329973582e-06 2.87035484342891e-06
0.01 1 7-M1 S -3.04740205997809e-06 3.27925643699456e-06
0.01 1 7-M1 Stop 0 0
0.01 1 7-M2 NS 7.16133809663655e-08 8.83382974094906e-08
0.01 1 7-M2 S -2.3496419327633e-06 9.10363023916691e-06
0.01 1 7-M2 Stop 0 0
0.01 1 8-NEP NS 1.9590926603285e-05 1.00207811264727e-05
0.01 1 8-NEP S -8.31329875689636e-07 1.04268985609404e-06
0.01 1 8-NEP Stop 0 0
0.01 1 8-NS1 NS 1.18482986329234e-05 6.7315214563583e-06
0.01 1 8-NS1 S 7.31871727664972e-06 4.73705745947927e-06
0.01 1 8-NS1 Stop 1.45923837092427e-06 1.21847704836946e-06
0.01 2 1-PB2 NS -3.96296788962871e-07 9.35229364196886e-07
0.01 2 1-PB2 S 1.88257200449732e-05 3.66687844546909e-06
0.01 2 1-PB2 Stop -9.98357035873678e-08 8.87131264807266e-07
0.01 2 2-PB1 NS 9.04684257468522e-07 6.70631353468952e-07
0.01 2 2-PB1 S 7.202912710331e-06 4.12288859105402e-06
0.01 2 2-PB1 Stop -5.70946834903081e-07 5.45909293847298e-07
0.01 2 3-PA NS 1.2925093393891e-05 5.57481278918061e-06
0.01 2 3-PA S 5.69269672261436e-06 5.38170930679773e-06
0.01 2 3-PA Stop -4.74599260566989e-07 3.47018728749347e-07
0.01 2 4-HA NS 1.72976604431094e-05 3.5577297720439e-06
0.01 2 4-HA S 2.70088312440698e-05 1.11443513197197e-05
0.01 2 4-HA Stop 0 0
0.01 2 5-NP NS 6.40023729757086e-06 1.84001284758166e-06
0.01 2 5-NP S 2.00324250396674e-05 5.6944799591534e-06
0.01 2 5-NP Stop -5.1511182708977e-07 6.17839333471703e-07
0.01 2 6-NA NS 2.76725173297778e-05 6.51729814895473e-06
0.01 2 6-NA S 1.95660779368848e-05 6.84412339806886e-06
0.01 2 6-NA Stop -3.03591275999666e-07 7.00059933907676e-07
0.01 2 7-M1 NS 6.62543581827524e-06 3.01032376734846e-06
0.01 2 7-M1 S -3.34721247271431e-06 3.42463413077757e-06
0.01 2 7-M1 Stop 0 0
0.01 2 7-M2 NS -3.90194040749597e-07 2.77812608702775e-07
0.01 2 7-M2 S -1.83588579273086e-06 9.31538700874056e-06
0.01 2 7-M2 Stop 0 0
0.01 2 8-NEP NS 2.21161424317581e-05 1.01096529689929e-05
0.01 2 8-NEP S 2.86505437885287e-07 5.4408163860725e-07
0.01 2 8-NEP Stop 0 0
0.01 2 8-NS1 NS 1.31495858522599e-05 6.85535815608439e-06
0.01 2 8-NS1 S 8.00092795109432e-06 4.73128541736906e-06
0.01 2 8-NS1 Stop -6.21095180712744e-07 1.43220140212665e-06
0.02 1 1-PB2 NS 2.26669531120221e-07 9.79313399927169e-07
0.02 1 1-PB2 S 1.72245818670982e-05 3.5204047421945e-06
0.02 1 1-PB2 Stop 0 0
0.02 1 2-PB1 NS 1.51217526033507e-06 7.56850100540929e-07
0.02 1 2-PB1 S 9.147517031163e-06 3.99973343113276e-06
0.02 1 2-PB1 Stop 1.33958665413804e-06 6.55725320875867e-07
0.02 1 3-PA NS 1.29606388017324e-05 5.56047330827956e-06
0.02 1 3-PA S 6.48316110000863e-06 5.24145823351134e-06
0.02 1 3-PA Stop 1.29605037159741e-06 1.44421452401944e-06
0.02 1 4-HA NS 1.62232594163033e-05 3.64537117415587e-06
0.02 1 4-HA S 2.65895130340561e-05 1.1018408509482e-05
0.02 1 4-HA Stop 7.99597458014812e-07 6.67671005600337e-07
0.02 1 5-NP NS 6.83662597603143e-06 1.79595885272093e-06
0.02 1 5-NP S 2.09768133004569e-05 6.20555188031143e-06
0.02 1 5-NP Stop 0 0
0.02 1 6-NA NS 3.31971894404143e-05 9.67650948160287e-06
0.02 1 6-NA S 1.70516915728168e-05 7.40897245462501e-06
0.02 1 6-NA Stop 2.80896934924162e-06 1.23371374280148e-06
0.02 1 7-M1 NS 6.83339145367441e-06 2.90202724109393e-06
0.02 1 7-M1 S -2.67569562570881e-06 3.11622091470144e-06
0.02 1 7-M1 Stop 0 0
0.02 1 7-M2 NS 0 0
0.02 1 7-M2 S -1.45810906147396e-06 9.13344068092986e-06
0.02 1 7-M2 Stop 0 0
0.02 1 8-NEP NS 1.99435070086866e-05 1.00122190873786e-05
0.02 1 8-NEP S -6.89124041250155e-08 6.12349550667862e-07
0.02 1 8-NEP Stop 0 0
0.02 1 8-NS1 NS 1.19667228595655e-05 6.68040918817629e-06
0.02 1 8-NS1 S 5.30662406982028e-06 4.63451713302441e-06
0.02 1 8-NS1 Stop 0 0
0.02 2 1-PB2 NS -4.49171517457731e-07 9.35930590017711e-07
0.02 2 1-PB2 S 1.89048382684493e-05 3.62644299275592e-06
0.02 2 1-PB2 Stop -9.98357035873678e-08 8.87131264807266e-07
0.02 2 2-PB1 NS 9.10512650035348e-07 6.62969736775643e-07
0.02 2 2-PB1 S 7.30053277271333e-06 4.09575947324438e-06
0.02 2 2-PB1 Stop 0 0
0.02 2 3-PA NS 1.30605632233431e-05 5.59519566642069e-06
0.02 2 3-PA S 5.53157715151707e-06 5.42076025976981e-06
0.02 2 3-PA Stop 0 0
0.02 2 4-HA NS 1.69686157523246e-05 3.57946979340495e-06
0.02 2 4-HA S 2.61719058027634e-05 1.10531779293011e-05
0.02 2 4-HA Stop 0 0
0.02 2 5-NP NS 6.8060862571606e-06 1.84181412100679e-06
0.02 2 5-NP S 2.01947292347353e-05 5.77105308473017e-06
0.02 2 5-NP Stop 0 0
0.02 2 6-NA NS 2.75729860018567e-05 6.5287508250978e-06
0.02 2 6-NA S 1.95789988674602e-05 6.8139540655144e-06
0.02 2 6-NA Stop 0 0
0.02 2 7-M1 NS 6.50948442602184e-06 2.97118838228349e-06
0.02 2 7-M1 S -3.65558241824594e-06 3.40694315885593e-06
0.02 2 7-M1 Stop 0 0
0.02 2 7-M2 NS 0 0
0.02 2 7-M2 S -1.80742624981038e-06 9.32256989745301e-06
0.02 2 7-M2 Stop 0 0
0.02 2 8-NEP NS 2.16496776419296e-05 1.0132091556546e-05
0.02 2 8-NEP S 0 0
0.02 2 8-NEP Stop 0 0
0.02 2 8-NS1 NS 1.32076441430399e-05 6.84739039831799e-06
0.02 2 8-NS1 S 7.5097200730155e-06 4.94207908722495e-06
0.02 2 8-NS1 Stop 0 0
