Project Subtype Sample Gene Syn Div MinFreq Chr Length PercentSites DivPerSite
flu-Xue-chronic H3N2 MIX1A-NW-1 1-PB2 NS 2.29697775867858 0.005 1-PB2 2280 0.716311647334706 0.00140643585670274
flu-Xue-chronic H3N2 MIX1A-NW-1 1-PB2 S 9.40527211800556 0.005 1-PB2 2280 0.249883744282616 0.0165081540691858
flu-Xue-chronic H3N2 MIX1A-NW-1 1-PB2 Stop 0.0137401226584132 0.005 1-PB2 2280 0.0338046083826779 0.000178270652296962
flu-Xue-chronic H3N2 MIX1A-NW-1 2-PB1 NS 1.23023260651004 0.005 2-PB1 2274 0.716311647334706 0.00075525700192167
flu-Xue-chronic H3N2 MIX1A-NW-1 2-PB1 S 16.7855690616431 0.005 2-PB1 2274 0.249883744282616 0.0295398036352513
flu-Xue-chronic H3N2 MIX1A-NW-1 2-PB1 Stop 0 0.005 2-PB1 2274 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 3-PA NS 4.05377758132876 0.005 3-PA 2151 0.716311647334706 0.00263097967627947
flu-Xue-chronic H3N2 MIX1A-NW-1 3-PA S 12.533015085987 0.005 3-PA 2151 0.249883744282616 0.0233172402345046
flu-Xue-chronic H3N2 MIX1A-NW-1 3-PA Stop 0 0.005 3-PA 2151 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 4-HA NS 3.42349012810249 0.005 4-HA 1701 0.716311647334706 0.00280971812709566
flu-Xue-chronic H3N2 MIX1A-NW-1 4-HA S 7.79763514097649 0.005 4-HA 1701 0.249883744282616 0.0183451214735787
flu-Xue-chronic H3N2 MIX1A-NW-1 4-HA Stop 0 0.005 4-HA 1701 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 5-NP NS 0.803139295446289 0.005 5-NP 1497 0.716311647334706 0.000748974552279221
flu-Xue-chronic H3N2 MIX1A-NW-1 5-NP S 4.07360093887675 0.005 5-NP 1497 0.249883744282616 0.0108897692392399
flu-Xue-chronic H3N2 MIX1A-NW-1 5-NP Stop 0 0.005 5-NP 1497 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 6-NA NS 3.93943208794357 0.005 6-NA 1410 0.716311647334706 0.0039004300391072
flu-Xue-chronic H3N2 MIX1A-NW-1 6-NA S 4.35934256088249 0.005 6-NA 1410 0.249883744282616 0.0123726828312045
flu-Xue-chronic H3N2 MIX1A-NW-1 6-NA Stop 0 0.005 6-NA 1410 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M1 NS 0.0724853934600269 0.005 7-M 759 0.716311647334706 0.000133323501732147
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M1 S 0.347749215329728 0.005 7-M 759 0.249883744282616 0.00183352306667813
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M1 Stop 0 0.005 7-M 759 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M2 NS 0.678289269867611 0.005 7-M 294 0.716311647334706 0.00322081369007237
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M2 S 0.657150772348426 0.005 7-M 294 0.249883744282616 0.0089449864579431
flu-Xue-chronic H3N2 MIX1A-NW-1 7-M2 Stop 0 0.005 7-M 294 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NEP NS 0.0415035410409363 0.005 8-NS 426 0.716311647334706 0.000136010845336333
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NEP S 1.43081555590759 0.005 8-NS 426 0.249883744282616 0.013441138285593
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NEP Stop 0 0.005 8-NS 426 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NS1 NS 0.453332082789418 0.005 8-NS 693 0.716311647334706 0.00091323218330738
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NS1 S 0.0623255041178832 0.005 8-NS 693 0.249883744282616 0.000359910536141884
flu-Xue-chronic H3N2 MIX1A-NW-1 8-NS1 Stop 0 0.005 8-NS 693 0.0338046083826779 0
flu-Xue-chronic H3N2 MIX1A-NW-2 1-PB2 NS 2.51594986011733 0.005 1-PB2 2280 0.716311647334706 0.00154051212884662
flu-Xue-chronic H3N2 MIX1A-NW-2 1-PB2 S 9.39027996464689 0.005 1-PB2 2280 0.249883744282616 0.0164818398090167
flu-Xue-chronic H3N2 MIX1A-NW-2 1-PB2 Stop 0.10586467507799 0.005 1-PB2 2280 0.0338046083826779 0.00137353684174015
flu-Xue-chronic H3N2 MIX1A-NW-2 2-PB1 NS 1.39376828890872 0.005 2-PB1 2274 0.716311647334706 0.000855653844390365
flu-Xue-chronic H3N2 MIX1A-NW-2 2-PB1 S 16.1170461273054 0.005 2-PB1 2274 0.249883744282616 0.0283633147039869
flu-Xue-chronic H3N2 MIX1A-NW-2 2-PB1 Stop 0.0822460130820511 0.005 2-PB1 2274 0.0338046083826779 0.00106991305065064
flu-Xue-chronic H3N2 MIX1A-NW-2 3-PA NS 4.72383822151519 0.005 3-PA 2151 0.716311647334706 0.00306586192890357
flu-Xue-chronic H3N2 MIX1A-NW-2 3-PA S 14.191750355708 0.005 3-PA 2151 0.249883744282616 0.026403259720173
flu-Xue-chronic H3N2 MIX1A-NW-2 3-PA Stop 0.113202991920791 0.005 3-PA 2151 0.0338046083826779 0.00155683141218553
flu-Xue-chronic H3N2 MIX1A-NW-2 4-HA NS 3.67722342170323 0.005 4-HA 1701 0.716311647334706 0.00301796147169464
flu-Xue-chronic H3N2 MIX1A-NW-2 4-HA S 7.88305347510084 0.005 4-HA 1701 0.249883744282616 0.0185460810834157
flu-Xue-chronic H3N2 MIX1A-NW-2 4-HA Stop 0.0502530182539877 0.005 4-HA 1701 0.0338046083826779 0.000873940625888421
flu-Xue-chronic H3N2 MIX1A-NW-2 5-NP NS 0.93300156975156 0.005 5-NP 1497 0.716311647334706 0.000870078748409612
flu-Xue-chronic H3N2 MIX1A-NW-2 5-NP S 3.73036686765948 0.005 5-NP 1497 0.249883744282616 0.00997221744988088
