Gene Syn Interval MeanDivPerSitePerYear SEDivPerSitePerYear MeanDivPerSitePerDay SEDivPerSitePerDay
1-PB2 NS 1999 0.000276081981225909 5.86709942194506e-06 7.56388989660024e-07 1.60742449916303e-08
1-PB2 S 1999 0.00520307893696319 5.79763383128534e-05 1.42550107862005e-05 1.58839283048913e-07
2-PB1 NS 1999 0.000191179820148164 4.48891677307283e-06 5.23780329173051e-07 1.22984021180078e-08
2-PB1 S 1999 0.00580816596105662 4.210557588464e-05 1.59127834549496e-05 1.15357742149699e-07
3-PA NS 1999 0.000335818567019407 6.50404465208051e-06 9.20050868546321e-07 1.78193004166589e-08
3-PA S 1999 0.00417936453824917 3.42272298238243e-05 1.14503138034224e-05 9.37732323940391e-08
4-HA NS 1999 0.00168749778254691 1.49766557182977e-05 4.62328159601892e-06 4.10319334747883e-08
4-HA S 1999 0.00718468056172983 6.10830581943942e-05 1.96840563335064e-05 1.67350844368203e-07
4-HA-antigenic-Wolf NS 1999 0.0048258014119516 4.23155931900868e-05 1.32213737313742e-05 1.15933132027635e-07
4-HA-antigenic-Wolf S 1999 0.00321357788804181 6.32846294545026e-05 8.80432298093646e-06 1.73382546450692e-07
4-HA-nonantigenic-Wolf NS 1999 0.000762056357233137 9.84594249472701e-06 2.08782563625517e-06 2.69751849170603e-08
4-HA-nonantigenic-Wolf S 1999 0.00837409425878429 6.8634161269124e-05 2.29427239966693e-05 1.880387979976e-07
5-NP NS 1999 0.0002544704408182 6.55262583090094e-06 6.97179289912878e-07 1.79523995367149e-08
5-NP S 1999 0.00436245256350352 5.5347860235216e-05 1.19519248315165e-05 1.51637973247167e-07
6-NA NS 1999 0.00162848994498351 1.55891160387434e-05 4.46161628762607e-06 4.27099069554614e-08
6-NA S 1999 0.00352699308003897 6.33126983094074e-05 9.66299473983279e-06 1.73459447423034e-07
6-NA-nonsurface-Bhatt NS 1999 0.00059404746250555 1.14421020144558e-05 1.62752729453575e-06 3.13482246971392e-08
6-NA-nonsurface-Bhatt S 1999 0.00484743063999437 7.45071131942285e-05 1.32806318903955e-05 2.04129077244462e-07
6-NA-surface-Bhatt NS 1999 0.00276953025403452 2.85828169667332e-05 7.58775412064253e-06 7.8309087580091e-08
6-NA-surface-Bhatt S 1999 0.00207218902614173 8.48260111826274e-05 5.67723020860748e-06 2.32400030637335e-07
7-M1 NS 1999 6.71510710397968e-05 5.73432922167267e-06 1.83975537095334e-07 1.57104910182813e-08
7-M1 S 1999 0.00495065562039478 5.11685227475279e-05 1.35634400558761e-05 1.40187733554871e-07
8-NS1 NS 1999 0.000585986464679327 1.72211742817635e-05 1.60544236898446e-06 4.71812994020918e-08
8-NS1 S 1999 0.000650732897286984 5.83711829474012e-05 1.78282985558078e-06 1.59921049170962e-07
